63757814,Oct/30/2019 04:09,spacevortex,949D - Curfew,GNU C++11,Accepted,31 ms,3100 KB,2019-10-30 04:09:00
36223956,Mar/12/2018 15:39,backlight0417,950F - Curfew,GNU C++14,Accepted,46 ms,3500 KB,2018-03-12 15:39:00
44345693,Oct/15/2018 10:09,G_Y_R,949D - Curfew,GNU C++11,Accepted,31 ms,1600 KB,2018-10-15 10:09:00
36339548,Mar/17/2018 05:00,Bill_Yang,950F - Curfew,GNU C++11,Accepted,30 ms,3800 KB,2018-03-17 05:00:00
43511439,Sep/28/2018 02:59,Zinn,949D - Curfew,GNU C++14,Accepted,46 ms,1200 KB,2018-09-28 02:59:00
44446143,Oct/17/2018 16:59,ZCDHJ,949D - Curfew,GNU C++11,Accepted,31 ms,1600 KB,2018-10-17 16:59:00
44446175,Oct/17/2018 17:00,vjudge5,949D - Curfew,GNU C++14,Accepted,46 ms,1600 KB,2018-10-17 17:00:00
36344938,Mar/17/2018 09:54,KeyID,949D - Curfew,GNU C++11,Accepted,31 ms,5000 KB,2018-03-17 09:54:00
36106692,Mar/09/2018 12:44,nhho,949D - Curfew,GNU C++,Accepted,78 ms,5300 KB,2018-03-09 12:44:00
36154665,Mar/10/2018 18:21,gisp_zjz,949D - Curfew,GNU C++14,Accepted,62 ms,5000 KB,2018-03-10 18:21:00
41380664,Aug/09/2018 05:01,laurent.demonet,950F - Curfew,GNU C++11,Accepted,171 ms,400 KB,2018-08-09 05:01:00
39977325,Jul/05/2018 11:26,Menstein_CGH,950F - Curfew,FPC,Accepted,46 ms,15700 KB,2018-07-05 11:26:00
44428974,Oct/17/2018 09:35,liuye,950F - Curfew,GNU C++17,Accepted,46 ms,1000 KB,2018-10-17 09:35:00
55806992,Jun/20/2019 02:44,Scut82,949D - Curfew,GNU C++14,Accepted,46 ms,1600 KB,2019-06-20 02:44:00
36121283,Mar/09/2018 18:07,ian9696,949D - Curfew,GNU C++14,Accepted,46 ms,2200 KB,2018-03-09 18:07:00
36116430,Mar/09/2018 15:43,tkandi,949D - Curfew,GNU C++,Accepted,31 ms,2400 KB,2018-03-09 15:43:00
36712996,Mar/29/2018 11:17,5120164053,950F - Curfew,GNU C++11,Accepted,31 ms,4700 KB,2018-03-29 11:17:00
39982873,Jul/05/2018 14:46,Master_Qiu,950F - Curfew,GNU C++,Accepted,46 ms,1400 KB,2018-07-05 14:46:00
39976426,Jul/05/2018 10:57,hankairu,949D - Curfew,GNU C++,Accepted,46 ms,1500 KB,2018-07-05 10:57:00
43180661,Sep/21/2018 16:14,luogu_bot4,949D - Curfew,GNU C++11,Accepted,31 ms,1900 KB,2018-09-21 16:14:00
36112335,Mar/09/2018 13:36,gskhirtladze,949D - Curfew,GNU C++11,Accepted,31 ms,3700 KB,2018-03-09 13:36:00
36115561,Mar/09/2018 15:25,xy961218,949D - Curfew,GNU C++14,Accepted,31 ms,3100 KB,2018-03-09 15:25:00
39985499,Jul/05/2018 16:19,timesea_rower,950F - Curfew,FPC,Accepted,46 ms,1600 KB,2018-07-05 16:19:00
36111037,Mar/09/2018 13:24,Hankpipi,950F - Curfew,GNU C++11,Accepted,46 ms,3300 KB,2018-03-09 13:24:00
36119648,Mar/09/2018 17:13,cghAndy,949D - Curfew,GNU C++14,Accepted,31 ms,5800 KB,2018-03-09 17:13:00
44248687,Oct/13/2018 12:39,_23333,949D - Curfew,GNU C++11,Accepted,46 ms,2400 KB,2018-10-13 12:39:00
36247478,Mar/13/2018 15:15,zdw1999,950F - Curfew,GNU C++11,Accepted,31 ms,2800 KB,2018-03-13 15:15:00
36144372,Mar/10/2018 11:50,RDDCCD,949D - Curfew,GNU C++,Accepted,171 ms,3600 KB,2018-03-10 11:50:00
36111817,Mar/09/2018 13:32,zjo_2001,949D - Curfew,GNU C++,Accepted,46 ms,3700 KB,2018-03-09 13:32:00
36216413,Mar/12/2018 09:52,F.Darcy#,949D - Curfew,GNU C++,Accepted,31 ms,2700 KB,2018-03-12 09:52:00
39982365,Jul/05/2018 14:28,Justcyl,950F - Curfew,GNU C++,Accepted,46 ms,2400 KB,2018-07-05 14:28:00
47495652,Dec/25/2018 17:46,CQUzbx,949D - Curfew,GNU C++11,Accepted,31 ms,800 KB,2018-12-25 17:46:00
39976417,Jul/05/2018 10:57,jokerwyt,949D - Curfew,GNU C++,Accepted,77 ms,1500 KB,2018-07-05 10:57:00
39971767,Jul/05/2018 06:12,SXnoname,949D - Curfew,GNU C++,Accepted,61 ms,200 KB,2018-07-05 06:12:00
43181999,Sep/21/2018 16:45,xgzc,949D - Curfew,GNU C++11,Accepted,31 ms,1500 KB,2018-09-21 16:45:00
43229103,Sep/22/2018 02:53,vjudge2,949D - Curfew,GNU C++11,Accepted,31 ms,1500 KB,2018-09-22 02:53:00
36107080,Mar/09/2018 12:47,HellKitsune,949D - Curfew,GNU C++11,Accepted,31 ms,2900 KB,2018-03-09 12:47:00
36264573,Mar/14/2018 07:22,tun#,949D - Curfew,GNU C++14,Accepted,46 ms,3400 KB,2018-03-14 07:22:00
36116408,Mar/09/2018 15:43,Timsei,949D - Curfew,GNU C++14,Accepted,156 ms,25300 KB,2018-03-09 15:43:00
36142485,Mar/10/2018 10:54,just_soso,950F - Curfew,GNU C++11,Accepted,31 ms,3500 KB,2018-03-10 10:54:00
36152127,Mar/10/2018 16:39,just_soso,949D - Curfew,GNU C++11,Accepted,31 ms,3500 KB,2018-03-10 16:39:00
36111886,Mar/09/2018 13:32,Blue233333,949D - Curfew,GNU C++,Accepted,31 ms,13700 KB,2018-03-09 13:32:00
39982030,Jul/05/2018 14:18,OIer_gg,950F - Curfew,FPC,Accepted,31 ms,1600 KB,2018-07-05 14:18:00
43180592,Sep/21/2018 16:13,Lsy2003,949D - Curfew,GNU C++11,Accepted,46 ms,1900 KB,2018-09-21 16:13:00
36431339,Mar/20/2018 14:42,egoist,949D - Curfew,GNU C++11,Accepted,46 ms,5000 KB,2018-03-20 14:42:00
36106635,Mar/09/2018 12:43,Spylft,949D - Curfew,GNU C++,Accepted,31 ms,3300 KB,2018-03-09 12:43:00
36115700,Mar/09/2018 15:29,Mys_C_K,949D - Curfew,GNU C++14,Accepted,46 ms,3500 KB,2018-03-09 15:29:00
39971073,Jul/05/2018 05:30,cold_chair#,949D - Curfew,GNU C++,Accepted,46 ms,200 KB,2018-07-05 05:30:00
36104594,Mar/09/2018 12:25,zhangzy,949D - Curfew,GNU C++11,Accepted,46 ms,2900 KB,2018-03-09 12:25:00
39982065,Jul/05/2018 14:19,wubingxian,949D - Curfew,GNU C++,Accepted,46 ms,3500 KB,2018-07-05 14:19:00
36198895,Mar/11/2018 15:18,SimulatedAnnealing,949D - Curfew,GNU C++,Accepted,78 ms,2400 KB,2018-03-11 15:18:00
36109010,Mar/09/2018 13:04,Antimony,949D - Curfew,GNU C++11,Accepted,62 ms,2700 KB,2018-03-09 13:04:00
36114488,Mar/09/2018 15:07,zx2003,949D - Curfew,GNU C++,Accepted,343 ms,6000 KB,2018-03-09 15:07:00
36106874,Mar/09/2018 12:45,Demerzel_IV,950F - Curfew,GNU C++14,Accepted,62 ms,3600 KB,2018-03-09 12:45:00
39983986,Jul/05/2018 15:25,chiyankuan,950F - Curfew,GNU C++,Accepted,61 ms,1400 KB,2018-07-05 15:25:00
36322647,Mar/16/2018 13:23,Splashing,950F - Curfew,GNU C++14,Accepted,46 ms,4500 KB,2018-03-16 13:23:00
36348642,Mar/17/2018 12:06,Shibhu,949D - Curfew,GNU C++14,Accepted,46 ms,5100 KB,2018-03-17 12:06:00
36109099,Mar/09/2018 13:05,goldgenius,949D - Curfew,GNU C++11,Accepted,46 ms,3300 KB,2018-03-09 13:05:00
36142145,Mar/10/2018 10:44,Panole233,949D - Curfew,GNU C++,Accepted,46 ms,2600 KB,2018-03-10 10:44:00
36107473,Mar/09/2018 12:50,yasugongshang,949D - Curfew,GNU C++11,Accepted,31 ms,6900 KB,2018-03-09 12:50:00
43181798,Sep/21/2018 16:40,Lsy2003,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2018-09-21 16:40:00
36107783,Mar/09/2018 12:53,wwd2075,950F - Curfew,GNU C++11,Accepted,62 ms,2500 KB,2018-03-09 12:53:00
36112597,Mar/09/2018 13:38,RNS_MHB,949D - Curfew,GNU C++11,Accepted,46 ms,4500 KB,2018-03-09 13:38:00
36267485,Mar/14/2018 10:26,t90tank#,949D - Curfew,GNU C++14,Accepted,62 ms,2400 KB,2018-03-14 10:26:00
