550671,Jul/18/2011 21:25,pva701,32C - Flea,GNU C++,Accepted,30 ms,1400 KB,2011-07-18 21:25:00
42307112,Aug/31/2018 15:01,vitya7,32C - Flea,GNU C++14,Accepted,62 ms,0 KB,2018-08-31 15:01:00
59398329,Aug/24/2019 14:11,luogu_bot4,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-08-24 14:11:00
59646246,Aug/29/2019 08:56,luogu_bot2,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-08-29 08:56:00
66463221,Dec/07/2019 18:34,MinecraftFuns,32C - Flea,Python 3,Accepted,248 ms,0 KB,2019-12-07 18:34:00
67848259,Dec/29/2019 02:44,1942938446,32C - Flea,FPC,Accepted,62 ms,0 KB,2019-12-29 02:44:00
11913341,Jul/03/2015 19:01,protick666,32C - Flea,GNU C11,Accepted,30 ms,0 KB,2015-07-03 19:01:00
59685081,Aug/30/2019 03:32,luogu_bot3,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-08-30 03:32:00
61116140,Sep/23/2019 15:55,Liah,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-09-23 15:55:00
61850469,Oct/04/2019 15:33,luogu_bot4,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-04 15:33:00
61889539,Oct/05/2019 08:12,devdede,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-05 08:12:00
69017365,Jan/18/2020 08:38,luogu_bot2,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-01-18 08:38:00
78552542,Apr/30/2020 12:34,EminSaott,32C - Flea,GNU C++17,Accepted,62 ms,300 KB,2020-04-30 12:34:00
6616205,May/14/2014 19:44,vjudge1,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2014-05-14 19:44:00
63411987,Oct/26/2019 04:24,luogu_bot3,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-26 04:24:00
138657,Oct/02/2010 12:14,sandro_barna,32C - Flea,MS C++,Accepted,30 ms,1300 KB,2010-10-02 12:14:00
15199646,Jan/06/2016 07:04,vjudge1,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2016-01-06 07:04:00
140321,Oct/04/2010 13:24,ForteXX,32C - Flea,MS C++,Accepted,30 ms,1300 KB,2010-10-04 13:24:00
62900055,Oct/19/2019 06:38,luogu_bot2,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-19 06:38:00
62900092,Oct/19/2019 06:39,luogu_bot4,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-19 06:39:00
78524425,Apr/30/2020 03:21,luogu_bot1,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-04-30 03:21:00
3858701,Jun/12/2013 01:29,MrBear,32C - Flea,MS C++,Accepted,15 ms,0 KB,2013-06-12 01:29:00
61833622,Oct/04/2019 10:18,luogu_bot3,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-04 10:18:00
61833914,Oct/04/2019 10:24,luogu_bot1,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-04 10:24:00
63002803,Oct/20/2019 13:39,luogu_bot3,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-20 13:39:00
74635365,Mar/28/2020 14:37,919106840217,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-03-28 14:37:00
138234,Oct/02/2010 11:37,* cjoa,32C - Flea,Python 2,Accepted,60 ms,2700 KB,2010-10-02 11:37:00
395926,Apr/18/2011 21:59,trukanduk,32C - Flea,GNU C++,Accepted,30 ms,1400 KB,2011-04-18 21:59:00
10228276,Mar/10/2015 18:50,Yousry,32C - Flea,GNU C++0x,Accepted,30 ms,0 KB,2015-03-10 18:50:00
13521160,Oct/10/2015 07:44,sxczf,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2015-10-10 07:44:00
34275476,Jan/18/2018 15:28,fpfilko,32C - Flea,GNU C++11,Accepted,30 ms,2000 KB,2018-01-18 15:28:00
70410905,Feb/06/2020 08:10,NOI-C,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-02-06 08:10:00
9812966,Feb/13/2015 05:58,pegasas,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2015-02-13 05:58:00
13665551,Oct/16/2015 16:39,head_down,32C - Flea,GNU C++,Accepted,62 ms,0 KB,2015-10-16 16:39:00
9440297,Jan/16/2015 08:09,vjudge1,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2015-01-16 08:09:00
789524,Oct/21/2011 23:58,aminabedi,32C - Flea,GNU C++,Accepted,30 ms,1400 KB,2011-10-21 23:58:00
1913345,Jul/20/2012 11:28,STU_mindiashvili_giorgi,32C - Flea,GNU C++,Accepted,30 ms,1400 KB,2012-07-20 11:28:00
69019557,Jan/18/2020 09:08,luogu_bot4,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-01-18 09:08:00
914218,Dec/02/2011 16:55,al13pn,32C - Flea,GNU C++,Accepted,10 ms,1400 KB,2011-12-02 16:55:00
138239,Oct/02/2010 11:37,ray_sun,32C - Flea,MS C++,Accepted,30 ms,1300 KB,2010-10-02 11:37:00
1969336,Aug/02/2012 02:40,Ulia_iko#,32C - Flea,FPC,Accepted,30 ms,1200 KB,2012-08-02 02:40:00
9806939,Feb/12/2015 14:25,vjudge1,32C - Flea,GNU C++,Accepted,60 ms,0 KB,2015-02-12 14:25:00
139914,Oct/02/2010 23:54,ZobninVladislav_It-Team,32C - Flea,MS C++,Accepted,30 ms,1300 KB,2010-10-02 23:54:00
779831,Oct/18/2011 14:43,antonio_junior,32C - Flea,GNU C++,Accepted,30 ms,1400 KB,2011-10-18 14:43:00
9440179,Jan/16/2015 07:41,vjudge3,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2015-01-16 07:41:00
63078908,Oct/21/2019 17:30,luogu_bot5,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-21 17:30:00
