29148671,Aug/03/2017 10:22,Max.D.#,799C - Fountains,GNU C++11,Accepted,61 ms,4200 KB,2017-08-03 10:22:00
27049972,May/12/2017 11:31,BobHuang,799C - Fountains,GNU C++,Accepted,46 ms,800 KB,2017-05-12 11:31:00
27037622,May/11/2017 20:34,pranet,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-05-11 20:34:00
27052571,May/12/2017 14:17,luzhexuan,799C - Fountains,GNU C++14,Accepted,62 ms,19600 KB,2017-05-12 14:17:00
37571259,Apr/24/2018 14:53,Dijkstra.,799C - Fountains,GNU C++14,Accepted,93 ms,4100 KB,2018-04-24 14:53:00
27566328,Jun/04/2017 17:57,_AjReme_,799C - Fountains,GNU C++14,Accepted,62 ms,1200 KB,2017-06-04 17:57:00
55092177,Jun/04/2019 18:06,guru_console,799C - Fountains,GNU C++14,Accepted,1138 ms,2000 KB,2019-06-04 18:06:00
27022822,May/11/2017 19:13,Cydiater,799C - Fountains,GNU C++,Accepted,61 ms,2000 KB,2017-05-11 19:13:00
57968665,Jul/30/2019 07:29,vjudge3,799C - Fountains,GNU C++11,Accepted,62 ms,1600 KB,2019-07-30 07:29:00
28018850,Jun/25/2017 12:01,Saveng,799C - Fountains,GNU C++11,Accepted,46 ms,2800 KB,2017-06-25 12:01:00
35075351,Feb/09/2018 04:17,-w-#,799C - Fountains,GNU C++14,Accepted,62 ms,4200 KB,2018-02-09 04:17:00
27059590,May/12/2017 20:28,a62625536,799C - Fountains,GNU C++14,Accepted,327 ms,800 KB,2017-05-12 20:28:00
31508018,Oct/19/2017 15:40,djzlzxd,799C - Fountains,GNU C++14,Accepted,46 ms,2700 KB,2017-10-19 15:40:00
27046692,May/12/2017 07:39,Last1ne,799C - Fountains,GNU C++14,Accepted,62 ms,2400 KB,2017-05-12 07:39:00
79098689,May/06/2020 03:56,mlby#,799C - Fountains,GNU C++11,Accepted,78 ms,11800 KB,2020-05-06 03:56:00
55091844,Jun/04/2019 17:54,guru_console,799C - Fountains,GNU C++14,Accepted,1169 ms,2000 KB,2019-06-04 17:54:00
27022801,May/11/2017 19:13,tweety,799C - Fountains,GNU C++14,Accepted,62 ms,3900 KB,2017-05-11 19:13:00
41588233,Aug/14/2018 15:38,vjudge3,799C - Fountains,GNU C++,Accepted,109 ms,1000 KB,2018-08-14 15:38:00
27033928,May/11/2017 20:21,Tonjar,799C - Fountains,GNU C++,Accepted,514 ms,1600 KB,2017-05-11 20:21:00
42672532,Sep/08/2018 14:50,vjudge3,799C - Fountains,MS C++,Accepted,1450 ms,2100 KB,2018-09-08 14:50:00
27332495,May/25/2017 11:57,ZZZZone,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-05-25 11:57:00
42672465,Sep/08/2018 14:47,vjudge1,799C - Fountains,MS C++,Accepted,1434 ms,2100 KB,2018-09-08 14:47:00
42070538,Aug/25/2018 02:47,mutreta#,799C - Fountains,GNU C++14,Accepted,77 ms,24500 KB,2018-08-25 02:47:00
52826871,Apr/16/2019 17:05,Nodir_Bobiev,799C - Fountains,GNU C++11,Accepted,373 ms,2000 KB,2019-04-16 17:05:00
29621615,Aug/20/2017 16:02,t90tank#,799C - Fountains,GNU C++14,Accepted,62 ms,2100 KB,2017-08-20 16:02:00
39430723,Jun/20/2018 11:51,vjudge3,799C - Fountains,GNU C++,Accepted,1762 ms,1900 KB,2018-06-20 11:51:00
27023122,May/11/2017 19:15,yanek,799C - Fountains,GNU C++,Accepted,421 ms,8200 KB,2017-05-11 19:15:00
27093307,May/13/2017 19:06,Trrific,799C - Fountains,GNU C++14,Accepted,311 ms,2200 KB,2017-05-13 19:06:00
27059602,May/12/2017 20:29,a62625536,799C - Fountains,GNU C++14,Accepted,77 ms,800 KB,2017-05-12 20:29:00
27109270,May/14/2017 18:46,hippopmonkey,799C - Fountains,GNU C++,Accepted,77 ms,2300 KB,2017-05-14 18:46:00
33260579,Dec/15/2017 13:24,sainiarpit12,799C - Fountains,GNU C++,Accepted,436 ms,4500 KB,2017-12-15 13:24:00
41589441,Aug/14/2018 16:17,vjudge5,799C - Fountains,GNU C++11,Accepted,77 ms,2700 KB,2018-08-14 16:17:00
60249780,Sep/08/2019 08:56,k24#,799C - Fountains,GNU C++17,Accepted,93 ms,1600 KB,2019-09-08 08:56:00
27566518,Jun/04/2017 18:09,_AjReme_,799C - Fountains,GNU C++14,Accepted,62 ms,1200 KB,2017-06-04 18:09:00
27566521,Jun/04/2017 18:09,_AjReme_,799C - Fountains,MS C++,Accepted,62 ms,1300 KB,2017-06-04 18:09:00
