17560753,Apr/29/2016 06:58,RNS_CUS,16C - Monitor,GNU C++11,Accepted,15 ms,2100 KB,2016-04-29 06:58:00
27893854,Jun/19/2017 05:09,fringed,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2017-06-19 05:09:00
4140780,Jul/23/2013 15:58,PeterTong97,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2013-07-23 15:58:00
11544630,Jun/12/2015 17:11,BornToBeWinner,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2015-06-12 17:11:00
21298324,Oct/08/2016 18:35,Joker1010123,16C - Monitor,GNU C++,Accepted,31 ms,2000 KB,2016-10-08 18:35:00
31514756,Oct/19/2017 20:06,Stronger2020,16C - Monitor,GNU C++14,Accepted,15 ms,1900 KB,2017-10-19 20:06:00
56545675,Jul/05/2019 10:31,doushicaiji_,16C - Monitor,GNU C++17,Accepted,46 ms,0 KB,2019-07-05 10:31:00
69094493,Jan/19/2020 14:30,linuxll,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2020-01-19 14:30:00
76949226,Apr/16/2020 11:56,wksinha,16C - Monitor,PyPy 3,Accepted,155 ms,0 KB,2020-04-16 11:56:00
47309929,Dec/20/2018 22:04,Greninja.,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2018-12-20 22:04:00
58229136,Aug/03/2019 18:53,Claustrophobic_Penguin,16C - Monitor,PyPy 3,Accepted,155 ms,0 KB,2019-08-03 18:53:00
20305109,Aug/31/2016 17:12,dGreen,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2016-08-31 17:12:00
25852251,Mar/27/2017 19:17,sharang,16C - Monitor,GNU C++14,Accepted,15 ms,1900 KB,2017-03-27 19:17:00
78504661,Apr/29/2020 20:49,ashes0409,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2020-04-29 20:49:00
28800590,Jul/23/2017 15:11,Q1143316492,16C - Monitor,GNU C++14,Accepted,15 ms,1900 KB,2017-07-23 15:11:00
36740091,Mar/30/2018 10:25,Still_Believe,16C - Monitor,GNU C++11,Accepted,31 ms,3400 KB,2018-03-30 10:25:00
50787882,Mar/04/2019 17:11,AK.,16C - Monitor,GNU C++17,Accepted,30 ms,0 KB,2019-03-04 17:11:00
80300765,May/16/2020 12:45,nandonathaniel,16C - Monitor,GNU C++14,Accepted,31 ms,3900 KB,2020-05-16 12:45:00
1808786,Jun/18/2012 15:50,fujunyang,16C - Monitor,MS C++,Accepted,30 ms,1400 KB,2012-06-18 15:50:00
11710360,Jun/22/2015 17:03,mindbeats,16C - Monitor,GNU C++,Accepted,30 ms,0 KB,2015-06-22 17:03:00
