35226687,Feb/14/2018 12:10,Anoxiacxy,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,3700 KB,2018-02-14 12:10:00
37040951,Apr/07/2018 10:06,waynetuinfor,297C - Splitting the Uniqueness,GNU C++14,Accepted,186 ms,4800 KB,2018-04-07 10:06:00
3616019,Apr/24/2013 14:53,Alnair,297C - Splitting the Uniqueness,GNU C++,Accepted,281 ms,3100 KB,2013-04-24 14:53:00
3639429,Apr/27/2013 10:05,Alnair,298E - Splitting the Uniqueness,GNU C++,Accepted,312 ms,3100 KB,2013-04-27 10:05:00
67938311,Dec/30/2019 00:52,Psychik,297C - Splitting the Uniqueness,GNU C++17,Accepted,248 ms,3100 KB,2019-12-30 00:52:00
18110875,May/27/2016 02:20,FromATP,297C - Splitting the Uniqueness,GNU C++,Accepted,218 ms,3600 KB,2016-05-27 02:20:00
12076565,Jul/16/2015 03:33,No0oB,297C - Splitting the Uniqueness,GNU C++,Accepted,748 ms,1600 KB,2015-07-16 03:33:00
13230984,Sep/26/2015 13:20,sampriti#,297C - Splitting the Uniqueness,GNU C++11,Accepted,342 ms,1600 KB,2015-09-26 13:20:00
24006095,Jan/21/2017 11:20,rachitiitr,297C - Splitting the Uniqueness,GNU C++14,Accepted,684 ms,4200 KB,2017-01-21 11:20:00
30246002,Sep/10/2017 16:18,wangyenjen#,297C - Splitting the Uniqueness,GNU C++14,Accepted,186 ms,1200 KB,2017-09-10 16:18:00
3720612,May/14/2013 18:55,vjudge1,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,16400 KB,2013-05-14 18:55:00
4306912,Aug/18/2013 10:16,gagaga5-gagaga,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,2300 KB,2013-08-18 10:16:00
9406266,Jan/12/2015 08:01,alpq654321,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1600 KB,2015-01-12 08:01:00
3754642,May/22/2013 05:07,WCG,297C - Splitting the Uniqueness,GNU C++,Accepted,250 ms,2900 KB,2013-05-22 05:07:00
10968602,May/02/2015 00:28,lambogeedeesh#,298E - Splitting the Uniqueness,GNU C++11,Accepted,374 ms,4400 KB,2015-05-02 00:28:00
55908897,Jun/22/2019 02:26,alimagde,297C - Splitting the Uniqueness,GNU C++14,Accepted,248 ms,4500 KB,2019-06-22 02:26:00
35679105,Feb/25/2018 15:31,Nurpeissov,297C - Splitting the Uniqueness,GNU C++14,Accepted,498 ms,4200 KB,2018-02-25 15:31:00
3583168,Apr/21/2013 07:05,LeoW,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1600 KB,2013-04-21 07:05:00
3766955,May/24/2013 23:18,Kuandyk,298E - Splitting the Uniqueness,GNU C++,Accepted,234 ms,2400 KB,2013-05-24 23:18:00
8352276,Oct/22/2014 17:51,M.Mahdi,297C - Splitting the Uniqueness,GNU C++0x,Accepted,248 ms,7200 KB,2014-10-22 17:51:00
3657248,May/01/2013 15:02,sspa,298E - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1600 KB,2013-05-01 15:02:00
11764021,Jun/25/2015 20:48,vjudge3,297C - Splitting the Uniqueness,GNU C++,Accepted,716 ms,2000 KB,2015-06-25 20:48:00
13230699,Sep/26/2015 12:59,animeshf#,297C - Splitting the Uniqueness,GNU C++11,Accepted,436 ms,4300 KB,2015-09-26 12:59:00
59541556,Aug/26/2019 22:09,Fischer,297C - Splitting the Uniqueness,GNU C++17,Accepted,436 ms,2000 KB,2019-08-26 22:09:00
3610213,Apr/23/2013 13:25,ZhangYe,298E - Splitting the Uniqueness,GNU C++,Accepted,390 ms,1600 KB,2013-04-23 13:25:00
3618894,Apr/25/2013 07:22,zgg,298E - Splitting the Uniqueness,GNU C++,Accepted,281 ms,1500 KB,2013-04-25 07:22:00
17711994,May/04/2016 21:41,rogerioagjr,297C - Splitting the Uniqueness,GNU C++,Accepted,404 ms,5800 KB,2016-05-04 21:41:00
30297304,Sep/13/2017 03:57,ntu_vjudge_2,297C - Splitting the Uniqueness,GNU C++11,Accepted,186 ms,1200 KB,2017-09-13 03:57:00
