12683843,Aug/24/2015 15:09,ykaya,571A - Lengthening Sticks,GNU C++11,Accepted,78 ms,0 KB,2015-08-24 15:09:00
12675857,Aug/23/2015 20:15,ITDOI#,571A - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2015-08-23 20:15:00
12871193,Sep/06/2015 15:38,Megumi233,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-09-06 15:38:00
45092418,Oct/30/2018 13:12,rawatds#,572C - Lengthening Sticks,GNU C++14,Accepted,30 ms,0 KB,2018-10-30 13:12:00
12676442,Aug/23/2015 21:21,numbertheorist17,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-23 21:21:00
12669501,Aug/23/2015 10:09,Ayanami.Rei,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-08-23 10:09:00
69218798,Jan/21/2020 06:06,CCWUCMCTS,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2020-01-21 06:06:00
13093203,Sep/18/2015 23:42,neerajbattan,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-09-18 23:42:00
12651333,Aug/22/2015 20:03,ksun48,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-08-22 20:03:00
12670851,Aug/23/2015 12:06,yongwoods,572C - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2015-08-23 12:06:00
12703931,Aug/26/2015 09:06,yaseenmuhd,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-26 09:06:00
12739881,Aug/29/2015 10:32,giglf,572C - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-29 10:32:00
12778187,Aug/30/2015 17:43,Bura.RuetCSE,572C - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-30 17:43:00
12679393,Aug/24/2015 06:42,lightbulb12294,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-24 06:42:00
12683718,Aug/24/2015 14:55,fwm94,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-24 14:55:00
12801002,Sep/01/2015 14:58,ShineRain#,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-09-01 14:58:00
26683446,Apr/26/2017 17:05,RUSH_D_CAT,571A - Lengthening Sticks,GNU C++14,Accepted,15 ms,1900 KB,2017-04-26 17:05:00
17170279,Apr/05/2016 14:20,ZeminJiang,571A - Lengthening Sticks,GNU C++11,Accepted,15 ms,2200 KB,2016-04-05 14:20:00
18125258,May/28/2016 06:24,scarf,572C - Lengthening Sticks,GNU C++11,Accepted,15 ms,2200 KB,2016-05-28 06:24:00
57918189,Jul/29/2019 05:53,luogu_bot3,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-07-29 05:53:00
58221447,Aug/03/2019 15:42,CloudKit,571A - Lengthening Sticks,GNU C++14,Accepted,46 ms,0 KB,2019-08-03 15:42:00
20072769,Aug/23/2016 00:42,kreksi,571A - Lengthening Sticks,GNU C++11,Accepted,30 ms,2000 KB,2016-08-23 00:42:00
66405673,Dec/06/2019 16:37,vjudge3,571A - Lengthening Sticks,GNU C++17,Accepted,30 ms,0 KB,2019-12-06 16:37:00
46814910,Dec/09/2018 15:11,vjudge5,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2018-12-09 15:11:00
16269593,Feb/22/2016 03:39,MuratKhayrulin,571A - Lengthening Sticks,Python 2,Accepted,811 ms,4800 KB,2016-02-22 03:39:00
20652742,Sep/16/2016 08:04,zhan8855,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2016-09-16 08:04:00
12682146,Aug/24/2015 12:23,gaolee,572C - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2015-08-24 12:23:00
62187399,Oct/09/2019 11:41,BeyondStars,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-10-09 11:41:00
13770376,Oct/21/2015 14:40,vjudge4,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-10-21 14:40:00
61296986,Sep/26/2019 05:04,Marmot_C,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-09-26 05:04:00
12703362,Aug/26/2015 07:39,sunzeyu,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-26 07:39:00
12702155,Aug/26/2015 03:16,rockytheprogrammer,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-26 03:16:00
12714856,Aug/27/2015 06:32,Sunyuchen#,572C - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-08-27 06:32:00
28342757,Jul/07/2017 09:38,jufusong#,571A - Lengthening Sticks,GNU C++14,Accepted,15 ms,1900 KB,2017-07-07 09:38:00
12672334,Aug/23/2015 14:24,Ewwa,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-23 14:24:00
12791866,Aug/31/2015 19:51,Karan2116,572C - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-31 19:51:00
13534238,Oct/10/2015 21:23,vjudge2,571A - Lengthening Sticks,GNU C++,Accepted,46 ms,0 KB,2015-10-10 21:23:00
46783832,Dec/09/2018 07:56,vjudge2,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2018-12-09 07:56:00
50710607,Mar/03/2019 09:40,bitetheDDDDt,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,2400 KB,2019-03-03 09:40:00
50722871,Mar/03/2019 11:54,bitetheDDDDt,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,2400 KB,2019-03-03 11:54:00
18881151,Jul/04/2016 13:16,3rbi#,572C - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2016-07-04 13:16:00
45864503,Nov/17/2018 10:29,Trrui,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2018-11-17 10:29:00
13099498,Sep/19/2015 12:57,hoangvud,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-09-19 12:57:00
42597407,Sep/07/2018 04:37,vjudge3,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2018-09-07 04:37:00
12728999,Aug/28/2015 11:56,ssor96,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-08-28 11:56:00
57941617,Jul/29/2019 15:47,luogu_bot2,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-07-29 15:47:00
61301300,Sep/26/2019 08:03,vjudge1,571A - Lengthening Sticks,MS C++,Accepted,31 ms,0 KB,2019-09-26 08:03:00
12651900,Aug/22/2015 20:06,CyberQuantum,571A - Lengthening Sticks,GNU C,Accepted,15 ms,0 KB,2015-08-22 20:06:00
27988909,Jun/23/2017 19:24,fishfishfish,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,2000 KB,2017-06-23 19:24:00
12647772,Aug/22/2015 19:44,mR.ilchi,571A - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2015-08-22 19:44:00
12665172,Aug/22/2015 23:57,alexm,572C - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-08-22 23:57:00
12672248,Aug/23/2015 14:17,Kuzey,572C - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-08-23 14:17:00
13099522,Sep/19/2015 13:00,hoanqq,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-09-19 13:00:00
26762833,Apr/30/2017 10:31,Ron_Chen,571A - Lengthening Sticks,GNU C++11,Accepted,15 ms,2000 KB,2017-04-30 10:31:00
57742731,Jul/25/2019 14:58,Hrbust_Rook,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-07-25 14:58:00
12665426,Aug/23/2015 00:40,NYU,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-23 00:40:00
20818671,Sep/22/2016 16:49,norhh,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2016-09-22 16:49:00
12695345,Aug/25/2015 15:13,ibahadir.altun,572C - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-08-25 15:13:00
43101490,Sep/20/2018 08:35,vjudge4,571A - Lengthening Sticks,MS C++,Accepted,31 ms,0 KB,2018-09-20 08:35:00
53593742,May/01/2019 05:37,kimoyami,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-05-01 05:37:00
12703758,Aug/26/2015 08:43,ggoh#,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-26 08:43:00
12706114,Aug/26/2015 13:05,KarlFreecss,572C - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-08-26 13:05:00
15608415,Jan/27/2016 12:10,lancer,572C - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2016-01-27 12:10:00
40098542,Jul/09/2018 05:27,vjudge5,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2018-07-09 05:27:00
12726462,Aug/28/2015 06:31,usekey,572C - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-28 06:31:00
12704591,Aug/26/2015 10:13,Pakalns,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-08-26 10:13:00
44830017,Oct/25/2018 11:00,xielinhan,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,3900 KB,2018-10-25 11:00:00
45962404,Nov/19/2018 15:17,dummyummy,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2018-11-19 15:17:00
49397407,Feb/03/2019 16:02,luogu_bot5,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-02-03 16:02:00
12712510,Aug/26/2015 23:03,Behnam,572C - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2015-08-26 23:03:00
66405755,Dec/06/2019 16:38,acscript,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-12-06 16:38:00
12672325,Aug/23/2015 14:23,I_Love_Tina,571A - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2015-08-23 14:23:00
12673614,Aug/23/2015 16:19,noor148,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-08-23 16:19:00
12673622,Aug/23/2015 16:20,noor148,572C - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-08-23 16:20:00
