10373054,Mar/21/2015 05:01,pengfeibill#,485A - Factory,MS C++,Accepted,15 ms,0 KB,2015-03-21 05:01:00
11963341,Jul/07/2015 21:29,vitux,485A - Factory,PyPy 2,Accepted,92 ms,300 KB,2015-07-07 21:29:00
11963344,Jul/07/2015 21:29,vitux,485A - Factory,Python 2,Accepted,62 ms,0 KB,2015-07-07 21:29:00
14114621,Nov/07/2015 02:05,ibrahimmohamed,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-11-07 02:05:00
18907229,Jul/05/2016 23:32,Luka24,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2016-07-05 23:32:00
41618452,Aug/15/2018 13:43,SarveshDubey,485A - Factory,Python 3,Accepted,639 ms,0 KB,2018-08-15 13:43:00
8597176,Nov/07/2014 01:59,mruxim,485A - Factory,GNU C++0x,Accepted,31 ms,0 KB,2014-11-07 01:59:00
8692316,Nov/14/2014 14:23,The_Assassin43,485A - Factory,GNU C++,Accepted,15 ms,100 KB,2014-11-14 14:23:00
13869762,Oct/26/2015 13:06,thakkark1313,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-10-26 13:06:00
34432449,Jan/22/2018 07:51,I_Love_U_Sohan,485A - Factory,GNU C,Accepted,15 ms,1800 KB,2018-01-22 07:51:00
49769817,Feb/11/2019 16:12,Baron3228,485A - Factory,Python 3,Accepted,155 ms,0 KB,2019-02-11 16:12:00
23375493,Dec/28/2016 13:32,Trunks,485A - Factory,Python 2,Accepted,109 ms,6100 KB,2016-12-28 13:32:00
46647116,Dec/05/2018 15:23,soto_nlp,485A - Factory,Python 3,Accepted,140 ms,0 KB,2018-12-05 15:23:00
20792091,Sep/21/2016 13:25,almkdadAli,485A - Factory,GNU C++11,Accepted,15 ms,0 KB,2016-09-21 13:25:00
34919462,Feb/04/2018 12:53,vjudge1,485A - Factory,GNU C++11,Accepted,31 ms,2000 KB,2018-02-04 12:53:00
34919479,Feb/04/2018 12:54,Fuko_Ibuki,485A - Factory,GNU C++11,Accepted,31 ms,2000 KB,2018-02-04 12:54:00
10598974,Apr/05/2015 11:09,ving.xia,485A - Factory,Python 3,Accepted,140 ms,4900 KB,2015-04-05 11:09:00
16738523,Mar/16/2016 09:40,DukeOfYork,485A - Factory,Python 2,Accepted,124 ms,400 KB,2016-03-16 09:40:00
58250108,Aug/04/2019 10:26,XZ20220135,485A - Factory,GNU C++11,Accepted,31 ms,0 KB,2019-08-04 10:26:00
8564571,Nov/05/2014 19:51,marianneL,485A - Factory,Python 2,Accepted,405 ms,0 KB,2014-11-05 19:51:00
8599201,Nov/07/2014 09:51,dangerOff#,485A - Factory,GNU C++,Accepted,31 ms,0 KB,2014-11-07 09:51:00
12255826,Jul/28/2015 21:53,rincewind,485A - Factory,Python 2,Accepted,109 ms,4600 KB,2015-07-28 21:53:00
45866793,Nov/17/2018 11:21,matumbaman,485A - Factory,GNU C++14,Accepted,31 ms,0 KB,2018-11-17 11:21:00
8577003,Nov/05/2014 22:39,rajatgupta063,485A - Factory,GNU C++,Accepted,46 ms,0 KB,2014-11-05 22:39:00
8590020,Nov/06/2014 15:41,tornike00,485A - Factory,GNU C++,Accepted,46 ms,0 KB,2014-11-06 15:41:00
8595855,Nov/06/2014 23:01,Monster_king,485A - Factory,GNU C++,Accepted,46 ms,0 KB,2014-11-06 23:01:00
72113384,Feb/29/2020 20:48,etien,485A - Factory,GNU C++17,Accepted,31 ms,0 KB,2020-02-29 20:48:00
8628943,Nov/10/2014 10:30,HTDLe,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-11-10 10:30:00
10039230,Feb/27/2015 05:10,bagpipe,485A - Factory,GNU C++,Accepted,31 ms,0 KB,2015-02-27 05:10:00
35585743,Feb/23/2018 03:05,dragonslayerintraining,485A - Factory,GNU C++11,Accepted,15 ms,2000 KB,2018-02-23 03:05:00
46051505,Nov/22/2018 10:47,tortoise1,485A - Factory,GNU C++14,Accepted,31 ms,0 KB,2018-11-22 10:47:00
8599231,Nov/07/2014 09:54,hero_ds,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-11-07 09:54:00
8685327,Nov/13/2014 17:55,Trasier,485A - Factory,Perl,Accepted,46 ms,2500 KB,2014-11-13 17:55:00
10424244,Mar/24/2015 18:11,mihir,485A - Factory,GNU C++11,Accepted,15 ms,0 KB,2015-03-24 18:11:00
8560877,Nov/05/2014 19:37,MKibera,485A - Factory,GNU C++,Accepted,46 ms,0 KB,2014-11-05 19:37:00
8598607,Nov/07/2014 08:03,icylatte,485A - Factory,GNU C++,Accepted,46 ms,0 KB,2014-11-07 08:03:00
