74790516,Mar/30/2020 09:20,devanshmishra111,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2020-03-30 09:20:00
31128096,Oct/07/2017 23:49,IamRD,867A - Between the Offices,Python 3,Accepted,62 ms,0 KB,2017-10-07 23:49:00
50640065,Mar/01/2019 16:33,kcherdakov,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-03-01 16:33:00
59847213,Sep/01/2019 12:59,Shahid_786,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-09-01 12:59:00
70825432,Feb/12/2020 09:11,mouliballanki,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2020-02-12 09:11:00
80181252,May/15/2020 03:29,yujjwal,867A - Between the Offices,PyPy 3,Accepted,156 ms,19700 KB,2020-05-15 03:29:00
46517640,Dec/02/2018 20:32,Skybytskyi.Nikita,867A - Between the Offices,PyPy 3,Accepted,139 ms,0 KB,2018-12-02 20:32:00
54426548,May/20/2019 21:50,LuckT,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-05-20 21:50:00
58905207,Aug/16/2019 13:49,ChoiJM,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-08-16 13:49:00
58946680,Aug/17/2019 12:17,nitin.tejuja12,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-08-17 12:17:00
70746927,Feb/10/2020 20:37,allvoxes,867A - Between the Offices,PyPy 3,Accepted,140 ms,0 KB,2020-02-10 20:37:00
72737684,Mar/08/2020 18:21,Aka_coder,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2020-03-08 18:21:00
30981302,Oct/04/2017 05:47,dragon_,867A - Between the Offices,Python 2,Accepted,62 ms,0 KB,2017-10-04 05:47:00
42120000,Aug/26/2018 14:57,Mk_Python_v1,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2018-08-26 14:57:00
53190309,Apr/23/2019 15:32,vjudge1,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-04-23 15:32:00
57136220,Jul/16/2019 12:00,kristina98,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-07-16 12:00:00
62743661,Oct/16/2019 23:39,Banano_Cry,867A - Between the Offices,PyPy 3,Accepted,140 ms,0 KB,2019-10-16 23:39:00
45265103,Nov/04/2018 08:22,bezzie,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2018-11-04 08:22:00
78288898,Apr/27/2020 15:22,Hitansh,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2020-04-27 15:22:00
30930432,Oct/02/2017 02:29,xlk,867A - Between the Offices,Python 2,Accepted,62 ms,0 KB,2017-10-02 02:29:00
53196839,Apr/23/2019 18:47,hiildaa,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-04-23 18:47:00
74883981,Mar/31/2020 07:07,suthakar,867A - Between the Offices,Python 3,Accepted,108 ms,0 KB,2020-03-31 07:07:00
30895953,Oct/01/2017 04:26,poikniok,867A - Between the Offices,Python 3,Accepted,62 ms,0 KB,2017-10-01 04:26:00
30970762,Oct/03/2017 17:55,bati06,867A - Between the Offices,Python 3,Accepted,62 ms,0 KB,2017-10-03 17:55:00
30998389,Oct/04/2017 19:53,Djin31,867A - Between the Offices,Python 2,Accepted,62 ms,0 KB,2017-10-04 19:53:00
45439395,Nov/08/2018 13:10,AhmedEzzatG,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2018-11-08 13:10:00
