33547762,Dec/23/2017 17:29,InFiNiTeemo,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-23 17:29:00
33585718,Dec/24/2017 09:51,codeperson,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-24 09:51:00
33664311,Dec/27/2017 11:41,Vinay_Katare,907A - Masha and Bears,GNU C++14,Accepted,30 ms,1900 KB,2017-12-27 11:41:00
47505120,Dec/26/2018 00:48,tortoise1,907A - Masha and Bears,GNU C++14,Accepted,30 ms,0 KB,2018-12-26 00:48:00
68400658,Jan/08/2020 16:02,unbelievable_aman,907A - Masha and Bears,GNU C++11,Accepted,31 ms,0 KB,2020-01-08 16:02:00
33578425,Dec/23/2017 23:55,Elwazer,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-23 23:55:00
35108902,Feb/10/2018 04:32,pantw,907A - Masha and Bears,GNU C,Accepted,15 ms,1800 KB,2018-02-10 04:32:00
35285936,Feb/15/2018 10:56,simoncatcity,907A - Masha and Bears,PascalABC.NET,Accepted,46 ms,16500 KB,2018-02-15 10:56:00
43519521,Sep/28/2018 10:25,smallcute,907A - Masha and Bears,GNU C++11,Accepted,31 ms,300 KB,2018-09-28 10:25:00
69063040,Jan/18/2020 20:23,genesiscentury,907A - Masha and Bears,GNU C++17,Accepted,46 ms,0 KB,2020-01-18 20:23:00
34473730,Jan/23/2018 11:15,vjudge3,907A - Masha and Bears,GNU C++,Accepted,15 ms,1800 KB,2018-01-23 11:15:00
33550619,Dec/23/2017 17:38,rabbitcxk,907A - Masha and Bears,FPC,Accepted,15 ms,1600 KB,2017-12-23 17:38:00
33564306,Dec/23/2017 18:35,saathvik782,907A - Masha and Bears,PyPy 2,Accepted,77 ms,20700 KB,2017-12-23 18:35:00
33575494,Dec/23/2017 21:27,Hydsoled,907A - Masha and Bears,GNU C++11,Accepted,15 ms,2000 KB,2017-12-23 21:27:00
33578202,Dec/23/2017 23:39,QIAUP,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-23 23:39:00
35679196,Feb/25/2018 15:34,fatherOfDragons,907A - Masha and Bears,GNU C,Accepted,15 ms,1800 KB,2018-02-25 15:34:00
33573038,Dec/23/2017 20:01,Necrozma,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-23 20:01:00
34471708,Jan/23/2018 10:12,vjudge3,907A - Masha and Bears,GNU C++,Accepted,15 ms,1800 KB,2018-01-23 10:12:00
75214745,Apr/02/2020 11:01,luogu_bot5,907A - Masha and Bears,FPC,Accepted,31 ms,100 KB,2020-04-02 11:01:00
33563163,Dec/23/2017 18:30,kunminh,907A - Masha and Bears,GNU C++11,Accepted,15 ms,2000 KB,2017-12-23 18:30:00
33848684,Jan/01/2018 17:08,mushroomgenie,907A - Masha and Bears,GNU C++,Accepted,30 ms,2000 KB,2018-01-01 17:08:00
34515139,Jan/24/2018 14:40,BatyrAkhmetov,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2018-01-24 14:40:00
33585926,Dec/24/2017 10:02,niksjain1,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-24 10:02:00
33586822,Dec/24/2017 10:41,Beginner_DON,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-24 10:41:00
33617655,Dec/25/2017 16:15,sbw#,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-25 16:15:00
34118073,Jan/13/2018 06:47,nauthnim,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2018-01-13 06:47:00
33573814,Dec/23/2017 20:21,StinsonOvO,907A - Masha and Bears,PyPy 3,Accepted,124 ms,22600 KB,2017-12-23 20:21:00
33586228,Dec/24/2017 10:15,Beginner_DON,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-24 10:15:00
33827184,Dec/31/2017 11:04,newbazz,907A - Masha and Bears,GNU C++11,Accepted,30 ms,2000 KB,2017-12-31 11:04:00
34660094,Jan/29/2018 14:56,LVAO,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2018-01-29 14:56:00
33550479,Dec/23/2017 17:37,sorryImbiggae66,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-23 17:37:00
33583537,Dec/24/2017 07:41,Sumukh_Bhardwaj,907A - Masha and Bears,GNU C,Accepted,15 ms,1800 KB,2017-12-24 07:41:00
33694754,Dec/27/2017 22:44,Izanagi,907A - Masha and Bears,GNU C,Accepted,30 ms,1800 KB,2017-12-27 22:44:00
34547179,Jan/25/2018 16:20,aarsum,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2018-01-25 16:20:00
33588082,Dec/24/2017 11:38,acrylic,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-24 11:38:00
33619045,Dec/25/2017 17:14,burhan103335,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-25 17:14:00
48389330,Jan/14/2019 17:33,Kamal1998,907A - Masha and Bears,GNU C++14,Accepted,31 ms,0 KB,2019-01-14 17:33:00
33545815,Dec/23/2017 17:25,fourteenflames,907A - Masha and Bears,Python 2,Accepted,62 ms,4500 KB,2017-12-23 17:25:00
33559463,Dec/23/2017 18:11,waserabi_29,907A - Masha and Bears,GNU C++14,Accepted,30 ms,1900 KB,2017-12-23 18:11:00
33642836,Dec/26/2017 12:43,rishabh303,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-26 12:43:00
37110774,Apr/09/2018 02:10,HEARTOWAVE,907A - Masha and Bears,GNU C++14,Accepted,15 ms,3300 KB,2018-04-09 02:10:00
39197938,Jun/12/2018 20:30,Pooja_16,907A - Masha and Bears,GNU C++14,Accepted,31 ms,0 KB,2018-06-12 20:30:00
44012269,Oct/08/2018 21:50,vjudge3,907A - Masha and Bears,GNU C++11,Accepted,31 ms,0 KB,2018-10-08 21:50:00
33573454,Dec/23/2017 20:11,Makler#,907A - Masha and Bears,Python 3,Accepted,62 ms,5500 KB,2017-12-23 20:11:00
33553426,Dec/23/2017 17:47,AliceG,907A - Masha and Bears,Python 3,Accepted,62 ms,5400 KB,2017-12-23 17:47:00
33583334,Dec/24/2017 07:25,gawd,907A - Masha and Bears,Python 2,Accepted,62 ms,4500 KB,2017-12-24 07:25:00
