20341859,Sep/02/2016 16:42,Shammo103,8A - Train and Peter,Ruby,Accepted,154 ms,300 KB,2016-09-02 16:42:00
328039,Mar/08/2011 05:54,hirosegolf,8A - Train and Peter,Python 2,Accepted,140 ms,3100 KB,2011-03-08 05:54:00
1941735,Jul/26/2012 16:02,serg.kovalchuk,8A - Train and Peter,PHP,Accepted,140 ms,7200 KB,2012-07-26 16:02:00
55933996,Jun/22/2019 15:58,luogu_bot2,8A - Train and Peter,GNU C++11,Accepted,92 ms,300 KB,2019-06-22 15:58:00
55934050,Jun/22/2019 16:00,Liyi1,8A - Train and Peter,GNU C++11,Accepted,92 ms,300 KB,2019-06-22 16:00:00
14798489,Dec/14/2015 10:32,Infoprogramm,8A - Train and Peter,Python 3,Accepted,218 ms,800 KB,2015-12-14 10:32:00
64908750,Nov/15/2019 04:11,kchau,8A - Train and Peter,PyPy 3,Accepted,310 ms,700 KB,2019-11-15 04:11:00
10535523,Mar/31/2015 20:23,dromaeosaurid,8A - Train and Peter,PyPy 2,Accepted,154 ms,400 KB,2015-03-31 20:23:00
856994,Nov/11/2011 02:01,paykoob,8A - Train and Peter,Python 2,Accepted,60 ms,3200 KB,2011-11-11 02:01:00
1672045,May/10/2012 14:55,mjf,8A - Train and Peter,Python 2,Accepted,110 ms,3100 KB,2012-05-10 14:55:00
7115129,Jul/16/2014 14:01,bly,8A - Train and Peter,Python 2,Accepted,122 ms,400 KB,2014-07-16 14:01:00
3141182,Feb/17/2013 21:07,DiKir,8A - Train and Peter,Ruby,Accepted,78 ms,400 KB,2013-02-17 21:07:00
8946573,Dec/03/2014 00:27,apusko,8A - Train and Peter,Python 3,Accepted,124 ms,200 KB,2014-12-03 00:27:00
14200078,Nov/11/2015 20:57,step_by_step,8A - Train and Peter,Python 3,Accepted,124 ms,200 KB,2015-11-11 20:57:00
38394,May/05/2010 00:25,ckclark,8A - Train and Peter,Python 2,Accepted,170 ms,3000 KB,2010-05-05 00:25:00
3416318,Mar/28/2013 19:49,Cracel,8A - Train and Peter,Python 2,Accepted,46 ms,400 KB,2013-03-28 19:49:00
6779143,Jun/02/2014 08:25,Jason,8A - Train and Peter,Ruby,Accepted,216 ms,4900 KB,2014-06-02 08:25:00
30378522,Sep/16/2017 10:46,vjudge3,8A - Train and Peter,GNU C++,Accepted,62 ms,200 KB,2017-09-16 10:46:00
74351482,Mar/26/2020 07:54,luogu_bot1,8A - Train and Peter,GNU C++11,Accepted,92 ms,300 KB,2020-03-26 07:54:00
76062738,Apr/10/2020 09:52,ZUST-18ZZL,8A - Train and Peter,GNU C++17,Accepted,92 ms,500 KB,2020-04-10 09:52:00
66645844,Dec/11/2019 19:41,scientificuber,8A - Train and Peter,GNU C++14,Accepted,92 ms,300 KB,2019-12-11 19:41:00
856858,Nov/11/2011 00:22,TempuX,8A - Train and Peter,Python 2,Accepted,60 ms,3100 KB,2011-11-11 00:22:00
60471099,Sep/13/2019 08:34,vibrant1,8A - Train and Peter,GNU C++14,Accepted,92 ms,300 KB,2019-09-13 08:34:00
66179480,Dec/02/2019 15:21,luogu_bot3,8A - Train and Peter,GNU C++11,Accepted,92 ms,200 KB,2019-12-02 15:21:00
19881636,Aug/15/2016 09:42,book987,8A - Train and Peter,Python 3,Accepted,124 ms,4700 KB,2016-08-15 09:42:00
38114589,May/11/2018 15:52,anon01,8A - Train and Peter,Perl,Accepted,62 ms,2500 KB,2018-05-11 15:52:00
20044398,Aug/22/2016 14:09,mihassan,8A - Train and Peter,Python 3,Accepted,122 ms,4700 KB,2016-08-22 14:09:00
74226771,Mar/24/2020 20:30,_the_ripper_,8A - Train and Peter,Python 3,Accepted,218 ms,600 KB,2020-03-24 20:30:00
53697300,May/03/2019 11:27,saghe_talaii,8A - Train and Peter,GNU C++17,Accepted,92 ms,300 KB,2019-05-03 11:27:00
77660079,Apr/22/2020 17:28,Timotin,8A - Train and Peter,GNU C++17,Accepted,92 ms,300 KB,2020-04-22 17:28:00
2636772,Nov/24/2012 13:37,hariprasath,8A - Train and Peter,GNU C,Accepted,31 ms,200 KB,2012-11-24 13:37:00
5860903,Feb/01/2014 09:23,Markoo,8A - Train and Peter,GNU C,Accepted,62 ms,200 KB,2014-02-01 09:23:00
