12912948,Sep/09/2015 20:09,HamedWBN1,254A - Cards with Numbers,MS C++,Accepted,233 ms,2500 KB,2015-09-09 20:09:00
11896152,Jul/02/2015 14:21,I_Love_MohseN,254A - Cards with Numbers,GNU C++11,Accepted,608 ms,6900 KB,2015-07-02 14:21:00
2734980,Dec/09/2012 14:11,ustimaw,254A - Cards with Numbers,GNU C++,Accepted,421 ms,8300 KB,2012-12-09 14:11:00
2750085,Dec/11/2012 12:02,lftlft321#,254A - Cards with Numbers,GNU C++,Accepted,390 ms,2500 KB,2012-12-11 12:02:00
2799901,Dec/21/2012 02:00,jonyrock,254A - Cards with Numbers,GNU C++,Accepted,359 ms,2500 KB,2012-12-21 02:00:00
2804422,Dec/21/2012 21:30,Gzs_iceberg,254A - Cards with Numbers,Python 2,Accepted,812 ms,37800 KB,2012-12-21 21:30:00
2905631,Jan/11/2013 20:36,Jzxc,254A - Cards with Numbers,GNU C++,Accepted,359 ms,2500 KB,2013-01-11 20:36:00
2848840,Dec/28/2012 15:59,himanshuk123,254A - Cards with Numbers,GNU C++,Accepted,343 ms,2500 KB,2012-12-28 15:59:00
65269439,Nov/17/2019 21:52,OmarFaruq,254A - Cards with Numbers,GNU C++17,Accepted,265 ms,4900 KB,2019-11-17 21:52:00
6572337,May/08/2014 16:49,Paulkub,254A - Cards with Numbers,GNU C++,Accepted,920 ms,6900 KB,2014-05-08 16:49:00
2787414,Dec/17/2012 17:51,KBRCH,254A - Cards with Numbers,Python 2,Accepted,796 ms,37800 KB,2012-12-17 17:51:00
42887425,Sep/15/2018 13:46,vjudge2,254A - Cards with Numbers,GNU C++11,Accepted,982 ms,4900 KB,2018-09-15 13:46:00
3667412,May/04/2013 11:59,vjudge2,254A - Cards with Numbers,GNU C++,Accepted,359 ms,2500 KB,2013-05-04 11:59:00
11483185,Jun/07/2015 10:49,biltharesatyendra,254A - Cards with Numbers,GNU C++11,Accepted,233 ms,6900 KB,2015-06-07 10:49:00
78988776,May/04/2020 19:53,tryshithere,254A - Cards with Numbers,GNU C++11,Accepted,530 ms,6400 KB,2020-05-04 19:53:00
78988940,May/04/2020 19:55,EmON_IIT11,254A - Cards with Numbers,GNU C++17,Accepted,218 ms,6400 KB,2020-05-04 19:55:00
2753560,Dec/12/2012 11:43,okuzn,254A - Cards with Numbers,GNU C++,Accepted,843 ms,6400 KB,2012-12-12 11:43:00
2767960,Dec/15/2012 01:47,Stalker,254A - Cards with Numbers,FPC,Accepted,187 ms,2500 KB,2012-12-15 01:47:00
5349417,Dec/04/2013 21:09,omarghoneim,254A - Cards with Numbers,GNU C++,Accepted,577 ms,6900 KB,2013-12-04 21:09:00
6809966,Jun/04/2014 21:21,tylerdurden,254A - Cards with Numbers,GNU C++,Accepted,936 ms,7000 KB,2014-06-04 21:21:00
28546071,Jul/14/2017 13:56,Photon_,254A - Cards with Numbers,GNU C++14,Accepted,202 ms,8300 KB,2017-07-14 13:56:00
