56740902,Jul/09/2019 10:39,llt123456,183A - Headquarters,GNU C++17,Accepted,374 ms,0 KB,2019-07-09 10:39:00
7055721,Jul/10/2014 05:23,s221100338,183A - Headquarters,MS C++,Accepted,122 ms,0 KB,2014-07-10 05:23:00
1631326,Apr/27/2012 17:40,* Darmani,183A - Headquarters,GNU C++,Accepted,90 ms,1400 KB,2012-04-27 17:40:00
3536426,Apr/14/2013 19:50,noh4h_ss,183A - Headquarters,GNU C++,Accepted,78 ms,0 KB,2013-04-14 19:50:00
7055714,Jul/10/2014 05:22,vjudge2,183A - Headquarters,GNU C++,Accepted,124 ms,0 KB,2014-07-10 05:22:00
1631477,Apr/27/2012 17:57,* azaky,183A - Headquarters,FPC,Accepted,60 ms,2000 KB,2012-04-27 17:57:00
1633510,Apr/28/2012 13:44,Oryshych,183A - Headquarters,FPC,Accepted,50 ms,1000 KB,2012-04-28 13:44:00
71905320,Feb/26/2020 12:44,vjudge1,183A - Headquarters,GNU C++14,Accepted,404 ms,0 KB,2020-02-26 12:44:00
3362316,Mar/20/2013 22:50,Arterm,183A - Headquarters,GNU C++,Accepted,250 ms,0 KB,2013-03-20 22:50:00
41944726,Aug/21/2018 20:49,albert0liu0#,183A - Headquarters,GNU C++17,Accepted,154 ms,0 KB,2018-08-21 20:49:00
7051782,Jul/09/2014 12:25,lpf,183A - Headquarters,MS C++,Accepted,122 ms,0 KB,2014-07-09 12:25:00
7051788,Jul/09/2014 12:27,vjudge5,183A - Headquarters,GNU C++,Accepted,124 ms,0 KB,2014-07-09 12:27:00
42113226,Aug/26/2018 10:46,skylinebaby#,183A - Headquarters,GNU C++14,Accepted,404 ms,0 KB,2018-08-26 10:46:00
9264202,Dec/25/2014 09:19,lawrenceli,183A - Headquarters,GNU C++,Accepted,530 ms,200 KB,2014-12-25 09:19:00
1687107,May/14/2012 08:11,whbm,183A - Headquarters,GNU C++,Accepted,90 ms,1400 KB,2012-05-14 08:11:00
78942257,May/04/2020 10:14,vjudge5,183A - Headquarters,GNU C++17,Accepted,404 ms,0 KB,2020-05-04 10:14:00
18180928,Jun/01/2016 14:10,vjudge1,183A - Headquarters,MS C++,Accepted,92 ms,2200 KB,2016-06-01 14:10:00
1631260,Apr/27/2012 17:32,* DEGwer,183A - Headquarters,GNU C++,Accepted,380 ms,1400 KB,2012-04-27 17:32:00
12887277,Sep/07/2015 19:35,charity,183A - Headquarters,GNU C++,Accepted,124 ms,0 KB,2015-09-07 19:35:00
6552261,May/05/2014 13:16,vjudge2,183A - Headquarters,GNU C++,Accepted,124 ms,1000 KB,2014-05-05 13:16:00
38144983,May/12/2018 20:33,memmmmo,183A - Headquarters,GNU C++11,Accepted,530 ms,3400 KB,2018-05-12 20:33:00
41954027,Aug/22/2018 07:59,rrrrrrrr#,183A - Headquarters,GNU C++11,Accepted,560 ms,0 KB,2018-08-22 07:59:00
46702443,Dec/07/2018 07:12,vjudge5,183A - Headquarters,GNU C++17,Accepted,404 ms,0 KB,2018-12-07 07:12:00
78944840,May/04/2020 10:48,vjudge4,183A - Headquarters,GNU C++11,Accepted,468 ms,0 KB,2020-05-04 10:48:00
7055718,Jul/10/2014 05:23,vjudge4,183A - Headquarters,GNU C++,Accepted,124 ms,0 KB,2014-07-10 05:23:00
2579877,Nov/17/2012 19:16,dirbaio#,183A - Headquarters,GNU C++,Accepted,328 ms,0 KB,2012-11-17 19:16:00
1713122,May/24/2012 10:57,phyxnj,183A - Headquarters,GNU C++,Accepted,130 ms,1400 KB,2012-05-24 10:57:00
38144995,May/12/2018 20:33,memmmmo,183A - Headquarters,GNU C++11,Accepted,154 ms,3400 KB,2018-05-12 20:33:00
56741738,Jul/09/2019 11:00,vjudge5,183A - Headquarters,GNU C++11,Accepted,498 ms,0 KB,2019-07-09 11:00:00
1632942,Apr/28/2012 05:59,coolinging,183A - Headquarters,FPC,Accepted,50 ms,1000 KB,2012-04-28 05:59:00
33084714,Dec/10/2017 22:20,notnik,183A - Headquarters,GNU C++11,Accepted,560 ms,2000 KB,2017-12-10 22:20:00
1631767,Apr/27/2012 18:24,* zpl1,183A - Headquarters,GNU C++,Accepted,90 ms,1400 KB,2012-04-27 18:24:00
7047013,Jul/08/2014 15:54,wjh720#,183A - Headquarters,GNU C++,Accepted,92 ms,0 KB,2014-07-08 15:54:00
1631382,Apr/27/2012 17:47,* kon_an,183A - Headquarters,FPC,Accepted,50 ms,1000 KB,2012-04-27 17:47:00
40991315,Jul/31/2018 03:33,ReaLNero1,183A - Headquarters,FPC,Accepted,248 ms,100 KB,2018-07-31 03:33:00
1632856,Apr/28/2012 03:54,graysky,183A - Headquarters,GNU C++,Accepted,80 ms,1400 KB,2012-04-28 03:54:00
78460622,Apr/29/2020 12:39,Fireball0424,183A - Headquarters,GNU C++17,Accepted,92 ms,300 KB,2020-04-29 12:39:00
41949819,Aug/22/2018 02:20,johnchen902#,183A - Headquarters,GNU C++17,Accepted,154 ms,0 KB,2018-08-22 02:20:00
