75054,Jun/10/2010 19:08,Shady,17A - Noldbach problem,GNU C++,Accepted,30 ms,1300 KB,2010-06-10 19:08:00
56126689,Jun/26/2019 20:13,RevolutionDz,17A - Noldbach problem,Python 3,Accepted,248 ms,0 KB,2019-06-26 20:13:00
9804423,Feb/12/2015 07:14,xxxyyyzzz,17A - Noldbach problem,GNU C++0x,Accepted,30 ms,0 KB,2015-02-12 07:14:00
31516003,Oct/19/2017 21:07,cifra,17A - Noldbach problem,Python 3,Accepted,124 ms,5400 KB,2017-10-19 21:07:00
78794,Jun/13/2010 20:04,choice,17A - Noldbach problem,GNU C,Accepted,30 ms,1300 KB,2010-06-13 20:04:00
48046782,Jan/07/2019 07:23,hardikdua,17A - Noldbach problem,GNU C++17,Accepted,62 ms,200 KB,2019-01-07 07:23:00
58840809,Aug/15/2019 04:54,HBYANG,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2019-08-15 04:54:00
68122035,Jan/03/2020 16:41,galim665,17A - Noldbach problem,PyPy 3,Accepted,312 ms,1200 KB,2020-01-03 16:41:00
49182749,Jan/30/2019 06:22,pinkpigsiste,17A - Noldbach problem,GNU C++14,Accepted,30 ms,0 KB,2019-01-30 06:22:00
42267741,Aug/30/2018 09:18,Tianmy,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2018-08-30 09:18:00
30583667,Sep/21/2017 18:18,shifanyiakioi,17A - Noldbach problem,GNU C++,Accepted,60 ms,0 KB,2017-09-21 18:18:00
50258708,Feb/21/2019 00:32,sandro1999,17A - Noldbach problem,GNU C++14,Accepted,62 ms,0 KB,2019-02-21 00:32:00
688671,Sep/10/2011 20:19,bbugaev,17A - Noldbach problem,Python 2,Accepted,60 ms,2800 KB,2011-09-10 20:19:00
7490098,Aug/17/2014 11:02,vjudge2,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2014-08-17 11:02:00
44617803,Oct/21/2018 06:37,Lee2004,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2018-10-21 06:37:00
59125024,Aug/20/2019 11:51,luogu_bot3,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2019-08-20 11:51:00
5923910,Mar/04/2014 17:46,nsfxlyl,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2014-03-04 17:46:00
4215187,Aug/02/2013 07:39,vjudge4,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2013-08-02 07:39:00
54026350,May/12/2019 15:51,Kianaz.A,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2019-05-12 15:51:00
60261911,Sep/08/2019 14:51,Bob2006,17A - Noldbach problem,GNU C++11,Accepted,62 ms,100 KB,2019-09-08 14:51:00
21645071,Oct/21/2016 18:08,vibhana1962,17A - Noldbach problem,GNU C,Accepted,62 ms,0 KB,2016-10-21 18:08:00
28774953,Jul/22/2017 12:35,FrankUNI,17A - Noldbach problem,GNU C++14,Accepted,30 ms,1900 KB,2017-07-22 12:35:00
78684,Jun/12/2010 14:15,cielavenir,17A - Noldbach problem,GNU C,Accepted,30 ms,1300 KB,2010-06-12 14:15:00
37443309,Apr/18/2018 19:34,kareem02,17A - Noldbach problem,GNU C++14,Accepted,60 ms,3600 KB,2018-04-18 19:34:00
78815415,May/02/2020 15:18,morsmordre,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2020-05-02 15:18:00
4834607,Oct/20/2013 20:49,yugle7,17A - Noldbach problem,Python 3,Accepted,124 ms,300 KB,2013-10-20 20:49:00
5915598,Feb/07/2014 13:22,ohweonfire,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2014-02-07 13:22:00
40115616,Jul/09/2018 17:27,XianHZ,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2018-07-09 17:27:00
13762689,Oct/21/2015 00:06,omaragha,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2015-10-21 00:06:00
67644374,Dec/26/2019 12:29,vjudge4,17A - Noldbach problem,MS C++,Accepted,62 ms,0 KB,2019-12-26 12:29:00
