51449745,Mar/18/2019 17:09,chingiz1umbetaliyev2,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-03-18 17:09:00
58135744,Aug/01/2019 19:01,Bhola,131A - cAPS lOCK,PyPy 3,Accepted,140 ms,0 KB,2019-08-01 19:01:00
59848873,Sep/01/2019 13:39,a.cse18,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-09-01 13:39:00
63738747,Oct/29/2019 19:11,ThinkingZhang,131A - cAPS lOCK,PyPy 3,Accepted,155 ms,0 KB,2019-10-29 19:11:00
66042665,Nov/30/2019 17:05,Habriger,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-11-30 17:05:00
69908093,Jan/31/2020 17:39,ters81,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-01-31 17:39:00
75171775,Apr/01/2020 21:35,lavanyapathivada5465,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-04-01 21:35:00
75737290,Apr/07/2020 14:19,mukund_2000,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-04-07 14:19:00
78968526,May/04/2020 15:56,amitbhosale1234567890,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-05-04 15:56:00
1099435,Jan/21/2012 19:29,cozyh,131A - cAPS lOCK,Ruby,Accepted,110 ms,5500 KB,2012-01-21 19:29:00
22057311,Nov/05/2016 16:34,vitvickiid1,131A - cAPS lOCK,Python 3,Accepted,77 ms,0 KB,2016-11-05 16:34:00
48395516,Jan/14/2019 20:27,_Big_O_,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-01-14 20:27:00
58219015,Aug/03/2019 14:52,omar630,131A - cAPS lOCK,PyPy 3,Accepted,140 ms,0 KB,2019-08-03 14:52:00
59661531,Aug/29/2019 15:41,Abdumajid,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-08-29 15:41:00
61072161,Sep/22/2019 16:09,MeR21,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-09-22 16:09:00
63915689,Oct/31/2019 12:58,sriramvaliveti21,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-10-31 12:58:00
66135472,Dec/01/2019 15:00,SMMaster,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-12-01 15:00:00
66876037,Dec/14/2019 17:58,Deepti_Tulsian,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-12-14 17:58:00
69224089,Jan/21/2020 09:20,AM.EM.U4EAC19012,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-01-21 09:20:00
69641482,Jan/28/2020 00:07,amy2532001,131A - cAPS lOCK,Python 3,Accepted,109 ms,300 KB,2020-01-28 00:07:00
70874247,Feb/12/2020 18:21,sirismithaj,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2020-02-12 18:21:00
71697122,Feb/23/2020 17:27,kgn16,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-02-23 17:27:00
